feature_name,feature_type,selection_method,selection_score,rank
1throw_16thcolumn,connectome_edge,SelectKBest_f_classif,19.172784033712954,1.0
78throw_170thcolumn,connectome_edge,SelectKBest_f_classif,16.4810008662936,2.0
143throw_199thcolumn,connectome_edge,SelectKBest_f_classif,14.86538779073548,3.0
37throw_134thcolumn,connectome_edge,SelectKBest_f_classif,14.393780413577192,4.0
50throw_197thcolumn,connectome_edge,SelectKBest_f_classif,14.392773914718086,5.0
0throw_166thcolumn,connectome_edge,SelectKBest_f_classif,14.027465345273697,6.0
1throw_119thcolumn,connectome_edge,SelectKBest_f_classif,13.963139014642628,7.0
78throw_189thcolumn,connectome_edge,SelectKBest_f_classif,13.86909343721497,8.0
166throw_184thcolumn,connectome_edge,SelectKBest_f_classif,13.81028932305313,9.0
76throw_170thcolumn,connectome_edge,SelectKBest_f_classif,13.486407793114013,10.0
53throw_127thcolumn,connectome_edge,SelectKBest_f_classif,13.027507938405169,11.0
39throw_130thcolumn,connectome_edge,SelectKBest_f_classif,12.767778095044914,12.0
96throw_169thcolumn,connectome_edge,SelectKBest_f_classif,12.604835863506834,13.0
69throw_91thcolumn,connectome_edge,SelectKBest_f_classif,12.550521679128831,14.0
2throw_166thcolumn,connectome_edge,SelectKBest_f_classif,12.53286067453776,15.0
65throw_96thcolumn,connectome_edge,SelectKBest_f_classif,12.284275514797725,16.0
7throw_144thcolumn,connectome_edge,SelectKBest_f_classif,12.21121682011786,17.0
96throw_170thcolumn,connectome_edge,SelectKBest_f_classif,12.13335883930553,18.0
159throw_166thcolumn,connectome_edge,SelectKBest_f_classif,11.872647281539734,19.0
8throw_169thcolumn,connectome_edge,SelectKBest_f_classif,11.563456162917392,20.0
81throw_161thcolumn,connectome_edge,SelectKBest_f_classif,11.42422351333232,21.0
52throw_199thcolumn,connectome_edge,SelectKBest_f_classif,11.423515449843151,22.0
101throw_166thcolumn,connectome_edge,SelectKBest_f_classif,11.315991311453704,23.0
58throw_163thcolumn,connectome_edge,SelectKBest_f_classif,11.13200127628729,24.0
24throw_162thcolumn,connectome_edge,SelectKBest_f_classif,11.114220675032461,25.0
98throw_143thcolumn,connectome_edge,SelectKBest_f_classif,11.090149469559798,26.0
101throw_118thcolumn,connectome_edge,SelectKBest_f_classif,11.053971007953722,27.0
98throw_162thcolumn,connectome_edge,SelectKBest_f_classif,11.03736524913087,28.0
1throw_118thcolumn,connectome_edge,SelectKBest_f_classif,11.025347288047795,29.0
