representation,model,k,cv_accuracy,cv_accuracy_std,cv_balanced_accuracy,cv_f1,cv_roc_auc,cv_roc_auc_std
C: Selected Connectome + Metadata,XGBoost_shallow,500,0.7792207792207793,0.018366409900949284,0.7404481132075473,0.8401452341661582,0.8305424528301888,0.01833270290834914
C: Selected Connectome + Metadata,XGBoost_shallow,250,0.7779220779220779,0.018088815944394963,0.7395047169811321,0.8390681974393923,0.8297169811320753,0.022116080792649366
C: Selected Connectome + Metadata,XGBoost_shallow,100,0.7727272727272727,0.012320562312344362,0.7391509433962264,0.8338529020498461,0.8192610062893083,0.010427118880895281
C: Selected Connectome + Metadata,LogisticRegression,100,0.7129870129870131,0.033465191497987344,0.676375786163522,0.7868181642230324,0.7551493710691825,0.021174450134893476
C: Selected Connectome + Metadata,LogisticRegression,500,0.7012987012987013,0.007113279967599542,0.6450864779874215,0.7853747281126245,0.7238207547169813,0.003492460107113406
C: Selected Connectome + Metadata,LogisticRegression,250,0.6961038961038961,0.01558441558441559,0.6492924528301887,0.7777939994188392,0.7132468553459119,0.0056731926033846206
B: Supervised Connectome Selection,XGBoost_shallow,100,0.6311688311688312,0.037952309600525855,0.5576650943396226,0.7369834968193382,0.5862028301886794,0.0453631680087217
B: Supervised Connectome Selection,XGBoost_shallow,500,0.6337662337662338,0.03617763188878993,0.5401729559748427,0.7473164073164074,0.580503144654088,0.04431316536358204
B: Supervised Connectome Selection,XGBoost_shallow,250,0.6272727272727273,0.021181177182207914,0.543435534591195,0.7385276095940531,0.5804638364779875,0.038360550790208
B: Supervised Connectome Selection,LogisticRegression,100,0.6090909090909091,0.057113333577392275,0.5610062893081761,0.707017707449811,0.5722877358490567,0.0518920630542074
B: Supervised Connectome Selection,LogisticRegression,500,0.6155844155844156,0.016116459280507624,0.548624213836478,0.7221561870611892,0.5657232704402516,0.01636778481564842
A: Existing PCA (connectome only),LogisticRegression,PCA(0.95var),0.6428571428571429,0.02961494610647113,0.5547562893081761,0.7522261342123727,0.5601808176100629,0.0524871464541351
A: Existing PCA (connectome only),XGBoost_shallow,PCA(0.95var),0.6038961038961039,0.040862682396239663,0.5389937106918239,0.7101226609299249,0.5377358490566037,0.026825058315117074
B: Supervised Connectome Selection,LogisticRegression,250,0.5688311688311688,0.03450735131321152,0.5044025157232706,0.6820946351505333,0.5157232704402516,0.019585966851397837
